sample	unit	run_accession	platform	library_layout	fq1	fq2
934-1-2-1	1	ASPFU_UNAM-Sept2025-1	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-1_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-1_L007_R2_001.fastq.gz
1867-3-1-1	1	ASPFU_UNAM-Sept2025-2	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-2_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-2_L007_R2_001.fastq.gz
1867-3-1-2	1	ASPFU_UNAM-Sept2025-3	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-3_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-3_L007_R2_001.fastq.gz
1867-3-1-3	1	ASPFU_UNAM-Sept2025-4	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-4_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-4_L007_R2_001.fastq.gz
1626-3-1-1	1	ASPFU_UNAM-Sept2025-5	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-5_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-5_L007_R2_001.fastq.gz
1656-3-2-1	1	ASPFU_UNAM-Sept2025-6	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-6_L007_R1_001.fastq.gz	/groups/group-meyer/data/reads/LatAsp_Nov_2025/ASPFU_UNAM-Sept2025-6_L007_R2_001.fastq.gz
C4	1	ERR9791574	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791574_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791574_2.fastq.gz
C2	1	ERR9791572	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791572_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791572_2.fastq.gz
C5	1	ERR9791575	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791575_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791575_2.fastq.gz
C3	1	ERR9791573	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791573_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791573_2.fastq.gz
C10	1	ERR9791579	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791579_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791579_2.fastq.gz
C6	1	ERR9791576	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791576_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791576_2.fastq.gz
C11	1	ERR9791580	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791580_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791580_2.fastq.gz
C7	1	ERR9791577	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791577_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791577_2.fastq.gz
C12	1	ERR9791581	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791581_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791581_2.fastq.gz
C8	1	ERR9791578	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791578_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791578_2.fastq.gz
C14	1	ERR9791583	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791583_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791583_2.fastq.gz
C21	1	ERR9791590	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791590_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791590_2.fastq.gz
C15	1	ERR9791584	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791584_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791584_2.fastq.gz
C23	1	ERR9791592	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791592_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791592_2.fastq.gz
C17	1	ERR9791586	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791586_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791586_2.fastq.gz
C1	1	ERR9791571	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791571_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791571_2.fastq.gz
C24	1	ERR9791593	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791593_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791593_2.fastq.gz
C18	1	ERR9791587	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791587_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791587_2.fastq.gz
C26	1	ERR9791595	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791595_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791595_2.fastq.gz
C13	1	ERR9791582	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791582_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791582_2.fastq.gz
C20	1	ERR9791589	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791589_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791589_2.fastq.gz
C27	1	ERR9791596	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791596_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791596_2.fastq.gz
C16	1	ERR9791585	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791585_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791585_2.fastq.gz
C30	1	ERR9791599	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791599_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791599_2.fastq.gz
C19	1	ERR9791588	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791588_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791588_2.fastq.gz
C28	1	ERR9791597	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791597_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791597_2.fastq.gz
C31	1	ERR9791600	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791600_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791600_2.fastq.gz
C22	1	ERR9791591	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791591_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791591_2.fastq.gz
C33	1	ERR9791602	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791602_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791602_2.fastq.gz
C38	1	ERR9791607	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791607_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791607_2.fastq.gz
C25	1	ERR9791594	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791594_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791594_2.fastq.gz
C37	1	ERR9791606	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791606_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791606_2.fastq.gz
C39	1	ERR9791608	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791608_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791608_2.fastq.gz
C29	1	ERR9791598	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791598_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791598_2.fastq.gz
C43	1	ERR9791612	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791612_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791612_2.fastq.gz
C44	1	ERR9791613	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791613_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791613_2.fastq.gz
C32	1	ERR9791601	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791601_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791601_2.fastq.gz
C47	1	ERR9791616	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791616_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791616_2.fastq.gz
C34	1	ERR9791603	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791603_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791603_2.fastq.gz
C45	1	ERR9791614	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791614_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791614_2.fastq.gz
C55	1	ERR9791624	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791624_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791624_2.fastq.gz
C35	1	ERR9791604	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791604_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791604_2.fastq.gz
C46	1	ERR9791615	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791615_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791615_2.fastq.gz
C56	1	ERR9791625	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791625_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791625_2.fastq.gz
C57	1	ERR9791626	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791626_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791626_2.fastq.gz
C48	1	ERR9791617	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791617_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791617_2.fastq.gz
C36	1	ERR9791605	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791605_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791605_2.fastq.gz
C60	1	ERR9791629	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791629_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791629_2.fastq.gz
C52	1	ERR9791621	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791621_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791621_2.fastq.gz
C40	1	ERR9791609	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791609_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791609_2.fastq.gz
C61	1	ERR9791630	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791630_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791630_2.fastq.gz
C53	1	ERR9791622	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791622_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791622_2.fastq.gz
C41	1	ERR9791610	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791610_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791610_2.fastq.gz
C62	1	ERR9791631	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791631_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791631_2.fastq.gz
C54	1	ERR9791623	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791623_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791623_2.fastq.gz
C42	1	ERR9791611	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791611_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791611_2.fastq.gz
C59	1	ERR9791628	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791628_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791628_2.fastq.gz
C49	1	ERR9791618	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791618_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791618_2.fastq.gz
C70	1	ERR9791639	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791639_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791639_2.fastq.gz
